id	dim_prodshiptochan	dim_tech_week	dim_cycle	m_names|Список	m_dfm_m_change_3_partpromo	m_dfm_m_change_3_partpromo_logics	m_dfm_m_change_3_promovol	m_dfm_m_change_3_regvol	m_dfm_m_change_3_totalvol
?	1636647	2190980	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636648	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636648	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636648	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636649	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636649	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636649	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636659	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636659	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636659	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636660	2190960	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636660	2190965	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
?	1636660	2190986	2088366	m_dfm_m_change_3_partpromo,m_dfm_m_change_3_partpromo_logics,m_dfm_m_change_3_promovol,m_dfm_m_change_3_regvol,m_dfm_m_change_3_totalvol	0	0	0	0	0
